I2744,LipsonNature2017,Hungary_MN_ALPc_Szakalhat,Cegled_site_4/1,Hungary,47.178841,19.860515,G2a_Y,G2a2b2a_Y,J2b_mt,J2b1_mt,5300,4900,5100
I2932,OlaldeNature2018,Scotland_N,Scotland_Orkney_Isbister,Great_Britain,58.74,-2.916,I2a_Y,I2a1a2a_Y,H5_mt,H5_mt,2572,2348,2460
I2933,OlaldeNature2018,Scotland_N,Scotland_Orkney_Isbister,Great_Britain,58.74,-2.916,I2a_Y,I2a1b1a1a1b1_Y,J1c_mt,J1c9_mt,3011,2884,2947.5
I2935,OlaldeNature2018,Scotland_N,Scotland_Orkney_Isbister,Great_Britain,58.74,-2.916,I2a_Y,I2a1a2a_Y,U8b_mt,U8b1b_mt,3336,2939,3137.5
I3041,OlaldeNature2018,Scotland_N,Scotland_Argyll_and_Bute_Oban_Raschoille_Cave,Great_Britain,56.414567,-5.469178,I2a_Y,I2a1b1a1a_Y,K1a_mt,K1a3_mt,3942,3037,3489.5
I4303,OlaldeNature2018,France_MN_1,Clos_de_Roque,France,43.457,5.863,I2a_Y,I2a1a2_Y,H3_mt,H3_mt,4784,4552,4668
I4436,MathiesonNature2018,Latvia_MN_o2,Baden-Wurttemberg,Latvia,56.2833,25.1333,R1b_Y,R1b1a1_Y,U4a_mt,U4a1_mt,4318,4051,4184.5
I4627,MathiesonNature2018,Latvia_MN,Zvejnieki,Latvia,56.2833,25.1333,R1b_Y,R1b1a1_Y,U4a_mt,U4a1_mt,4311,3978,4144.5
I0706,MathiesonNature2018,Bulgaria_N,Veliko_Tarnovo_Dzhulyunitsa,Bulgaria,43.16089,25.88341,C1a_Y,C1a2b_Y,K1a_mt,K1a4b_mt,6025,5847,5936
I4304,OlaldeNature2018,France_MN_1,Clos_de_Roque,France,43.457,5.863,I2a_Y,I2a1a2_Y,T2c_mt,T2c1d+152_mt,4791,4555,4673
I5068,MathiesonNature2018,Austria_EN_LBK,Kleinhadersdorf_Flur_Marchleiten,Austria,48.663197,16.589687,J2a_Y,J2a1_Y,T2b_mt,T2b23_mt,5500,4775,5137.5
I5070,MathiesonNature2018,Austria_EN_LBK,Schletz,Austria,48.579752,16.46931,C1a_Y,C1a2b_Y,K1a_mt,K1a1a_mt,5209,4998,5103.5
