Ids,number of mtDNA SNPs,coverage mtDNA,number of Ychr SNPs,coverage Ychr,state
I2405,31,17.41X,31,0.0001X,deleted
I1565,29,38.6399X,502,0.0018X,used
I0520,23,36.913X,12,0X,deleted
I1583,29,124.9998X,698,0.0094X,used
I3535,29,5.8864X,125,0.0002X,used
RISE1165,3,71.4029X,867,0.2422X,used
I2037,8,35.2091X,27,0X,deleted
MDV248,29,13.1595X,75,0.0006X,used
RISE1163,4,91.5438X,1031,0.4506X,used
FLR014,14,1.1021X,123,0.0002X,used
I0411,29,115.342X,19,0.0023X,deleted
I0807,10,5.2997X,42,0.0053X,deleted
I0795,7,22.2357X,38,0.0056X,deleted
PB2031-A5-EX3,30,57.539X,446,0.0024X,used
XN206,19,1.8062X,7,0X,deleted
ZMOJ,18,2.4984X,226,0.0203X,used
I1131,6,142.7544X,465,0.0018X,used
FLR003,1,0.8907X,367,0.0006X,deleted
I0724,29,10.101X,20,0.0001X,deleted
GRC016,18,1.9002X,375,0.0007X,used
I2650,35,93.5604X,447,0.0016X,used
RISE1168,6,64.632X,902,0.2786X,used
Tep003,32,143.2306X,422,0.1305X,used
LBR001,2,2.2913X,372,0.0008X,used
OBN007,19,4.1656X,224,0.0003X,used
I5868,25,24.9356X,8,0X,deleted
I2927,32,23.5806X,166,0.0103X,used
I1906,6,36.3035X,157,0.0003X,used
Ire8,23,55.4957X,55,0.0064X,deleted
prs016,31,555.3077X,1148,1.2802X,used
I7554,27,67.7731X,463,0.0012X,used
I7554,27,67.7731X,463,0.0021X,used
GRC052,14,1.1687X,317,0.0005X,used
OBN006,21,1.5551X,259,0.0004X,used
I1102,30,65.5468X,177,0.0004X,used
prs009,25,717.4307X,1122,1.0099X,used
I3134,29,114.3314X,509,0.0029X,used
Tep006,29,162.0036X,206,0.0748X,used
I5881,23,27.3113X,32,0.0001X,deleted
SCH004,9,1.7226X,2,0X,deleted
ans008,27,237.6492X,952,0.2825X,used
ROUQH,35,65.1515X,302,0.0834X,used
I0519,27,129.157X,37,0.0001X,deleted
I1899,31,21.4541X,106,0.0002X,used
I1495,31,22.8172X,471,0.0923X,used
I0406,7,26.4548X,349,0.0489X,used
FLR001,11,0.9485X,188,0.0003X,deleted
PB672-B-EX3,35,115.3297X,813,0.0056X,used
I0551,27,20.0356X,45,0.0005X,deleted
GRC008,11,1.4787X,338,0.0006X,used
I2691,28,131.3178X,485,0.0024X,used
TORTD,29,27.8325X,93,0.0233X,used
I2352,24,6.1802X,42,0X,deleted
I3714,25,32.9623X,73,0.0001X,used
I5207,7,85.6618X,574,0.0047X,used
I5072,8,81.3405X,403,0.0018X,used
I2514,32,141.1114X,351,0.0849X,used
I1734,24,147.7599X,475,0.0022X,used
I1101,31,129.7586X,312,0.0011X,used
I2403,31,44.7394X,127,0.0002X,used
I1901,27,30.9481X,223,0.0003X,used
CAK68-A3-EX3,6,107.9624X,694,0.0037X,used
I3718,23,62.8912X,282,0.0008X,used
I1902,7,9.1413X,72,0.0001X,used
I2744,28,18.2295X,123,0.0002X,used
I1507,24,19.9323X,451,0.0952X,used
I1593,28,16.3662X,264,0.0004X,used
I0797,8,70.9904X,41,0.0003X,deleted
I6750,29,80.7379X,203,0.0006X,used
I5875,28,45.5403X,270,0.0009X,used
I3716,24,55.3463X,33,0.0001X,deleted
I1097,31,110.6848X,467,0.0014X,used
I2375,7,26.0878X,53,0.0001X,deleted
ans014,27,197.1134X,984,0.4309X,used
I1890,11,9.2414X,30,0X,deleted
I2435,9,21.5588X,9,0X,deleted
prs010,28,264.1278X,159,0.0368X,used
I1946,26,10.8975X,42,0.0039X,deleted
I1594,23,2.5568X,38,0X,deleted
I4349,31,81.9972X,568,0.1346X,used
I1900,31,35.8944X,32,0X,deleted
ASH1-B-EX3,31,96.2546X,449,0.002X,used
I4183,34,5.5764X,3,0X,deleted
2H11,28,1555.1696X,1101,2.9793X,used
I2635,24,136.2628X,467,0.0018X,used
I0867,30,261.9463X,423,0.0024X,used
I0634,28,134.0233X,568,0.0034X,used
I15944,29,11.9298X,39,0X,deleted
Falkenstein,24,4.9237X,18,0.0001X,deleted
RISE1252,4,22.2538X,285,0.0448X,used
I2014,30,17.114X,7,0X,deleted
PN02-A-EX3,27,90.6184X,547,0.0028X,used
